Companies,First Dollar Value,,,,,,Last Dollar Threshold,,,,,,Concavity,,,,,,Difference from Projected,,,,,
,BO,CF,GZ,IF,VA,XO,BO,CF,GZ,IF,VA,XO,BO,CF,GZ,IF,VA,XO,BO,CF,GZ,IF,VA,XO
BehemothCorps,0.5,1,0.81,0.66,0.43,0,3.0M,2.0M,2.1M,250K,400K,0,-0.54,-0.4,0.14,0.3,0,0,-248k,-2k,522k,-628k,-671k,-878k
BoarBrews,0.2,0.63,0,,0.72,,500k,500k,0,,654k,,0,0.3,0,,0.5,,-565k,-194k,-565k,,37k,
Chieftronics,0.65,,0.54,0.59,0.16,0,10.0M,,524k,600k,300k,0,-0.75,,0.89,0.3,0,0,1.2M,,-16k,134k,-466k,-466k
ChronoBrotherhood,0.82,0.88,0.66,0.84,0.96,0.38,3.0M,1.3M,2.0M,2.0M,2.0M,2.5M,-0.47,-0.5,0.34,-0.2,-0.5,-0.1,479k,-396k,616k,1.2M,77k,793k
Coreland,0.15,,0.36,,,,660k,,1.3M,,,,0.38,,-0.25,,,,0,,30k,,,
Curse,0.21,1,,,,,250k,350k,,,,,0,-0.5,,,,,-95k,20k,,,,
Deserprises,,0,0.27,,,0,,0,200k,,,0,,-0.5,0,,,-0.01,,0,0,,,0
Drifthead,,,0.04,,,0,,,499k,,,0,,,0.16,,,0,,,0,,,
Dynamicphone,0.25,1,0.18,0.74,0.85,0.26,150k,150k,150k,108k,194k,226k,-0.05,0.35,0,0.3,0,0.65,-103k,3k,-130k,-22k,17k,72k
Electrorks,0.6,0.38,0.36,0.79,0.74,1.00,1.5M,500k,1.0M,500k,1.6M,2.4M,-0.13,0.2,0.56,0.2,-0.2,-0.41,-171k,-846k,-735k,-540k,-101k,602k
EnigmaCompany,0.1,0.25,0.35,,0.18,0,2.0M,500k,212k,,520k,0,0,-0.5,0.1,,0,0,0,0,14k,,0,0
Faseelectronics,,,0,,,0,,,640k,,,0,,,0,,,0,,,0,,,0
Flowerscape,0.22,,0.29,,0.48,0,150k,,129k,,174k,0,0,,0.45,,0,0,-57k,,-71k,,28k,-71k
Ghostland,0.22,,0.1,,,0,998k,,683k,,,0,1,,0.84,,,0,580k,,0,,,0
Globaltube,0.2,,0.18,,,0,3.0M,,500k,,,0,-0.55,,0,,,0,0,,0,,,0
Honeywheels,,,0.41,,,0,,,300k,,,0,,,0.03,,,0,,,60k,,,0
ImaginationLimited,0.15,0,0,,,0,200k,0,0,,,0,0,0.5,0,,,0,0,0,0,,,0
Ithigh,0.21,,0.02,,,0,200k,,641k,,,0,0,,0,,,0,10k,,0,,,0
Lionware,0.2,0.94,0.27,0.84,,,1.0M,500k,360k,500k,,,0,0.5,0,0.3,,,-443k,15k,-443k,57k,,
Microbooks,0.2,,0,,0.04,,10.0M,,480k,,960k,,0,,0,,0,,0,,0,,0,
Mountaintales,,,0,,,0,,,1.7M,,,0,,,0,,,0,,,0,,,0
Nemomedia,,,0.18,,,0,,,120k,,,0,,,0,,,0.2,,,0,,,0
Nimbletainment,0.35,0.31,0.36,0.95,,,8.0M,5.0M,1.8M,2.5M,,,-0.54,0,-0.3,-0.1,,,-423k,-820k,-1.3M,1.2M,,
Nitro,0.5,0.63,0.4,1,0.96,0.99,2.5M,1.2M,170k,800k,1.3M,1.7M,-0.3,-0.25,0,0.4,0,0.33,-553k,-1.1M,-1.5M,-715k,-517k,167k
Nymphware,,,0.18,,,,,,100k,,,,,,0,,,,,,0,,,
Peachpaw,,,0,,,0,,,900k,,,0,,,0,,,0,,,0,,,0
Peachware,,,0,,,0,,,1.0M,,,0,,,0,,,0,,,0,,,0
Prophecycurity,,0,0,,,0,,300k,1.6M,,,0,,0.7,3,,,0,,0,0,,,0
Purplestone,,,0.09,,0.16,0,,,200k,,300k,0,,,0,,0,0,,,0,,0,0
RavenMotors,0.25,0.25,0.05,,,0,1.8M,300k,320k,,,0,-0.14,0,0,,,0,245k,0,0,,,0
Ridgespace,0.65,,0.47,0.99,,,2.0M,,2.0M,1.0M,,,0,,-0.28,0.2,,,519k,,-587k,134k,,
Shadewell,,,0,,,0,,,900k,,,0,,,0,,,0,,,0,,,0
Spherebank,0.6,,0.42,,,0.52,210k,,203k,,,230k,0,,0.35,,,-0.69,69k,,1k,,,-13k
Spritespace,,0,0.27,,0.04,0.11,,1.5M,120k,,502k,1.7M,,-0.25,0,,0,-0.52,,0,0,,0,0
ThunderRecords,,0,0.09,,,,,350k,670k,,,,,0,0,,,,,0,0,,,
TribeofSpite,0.22,0,0.25,,,0,5.0M,0,710k,,,0,-0.55,0,0,,,0.06,32k,0,0,,,0
TribeofWarlords,0.62,0.75,0.81,0.93,0.96,0.99,500k,400k,500k,175k,398k,508k,-0.33,0.5,1.98,0.3,0,-0.32,-229k,-146k,3k,-322k,-185k,-125k
Twist,,0.5,0.36,,,0,,1.0M,460k,,,0,,-0.5,1,,,0,,55k,-35k,,,-81k
VortexPoint,,,0,,,0,,,0,,,0,,,0,,,0.01,,,0,,,0
Whisper,0.3,0.25,0.18,0.47,1,,2.0M,1.2M,320k,1.0M,1.7M,,0,0,0,0.1,-0.28,,-222k,-889k,-889k,111k,160k,
YellowShade,0.15,,0.27,,0.2,0,2.5M,,1.7M,,1.0M,0,0,,-0.28,,0,0,0,,0,,0,0
Yeworks,0.6,0.38,,0.74,0.36,0.99,1.0M,500k,,320k,1.3M,1.7M,-0.66,0.35,,0.3,0,-0.21,-656k,-743k,,-664k,-446k,385k
Zaamtech,,,0.27,,0.31,0,,,960k,,300k,0,,,-0.32,0,0,0,,,-26k,,74k,-26k
Zooin,,,0.09,,,,,,449k,,,,,,0,,,,,,0,,,
_hold_,0.2,0.31,0.4,0,0.23,0.13,20.0M,20.0M,20.0M,20.0M,20.0M,26.0M,3,0.5,0.28,-3,0,0,734k,6.5M,6.1M,998k,4.9M,3.8M
,,,,,,,52218,17550,,,,10750,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,,,-3,,,,,,,,,,,